timestamp,agent.name,rule.description,rule.level,rule.id
"Apr 8, 2026 @ 23:53:46.657",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:53:46.657",wazuh-server,Auditd: SELinux permission check.,3,80730
"Apr 8, 2026 @ 23:53:46.657",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:53:46.657",wazuh-server,Auditd: SELinux permission check.,3,80730
"Apr 8, 2026 @ 23:53:46.657",wazuh-server,Auditd: SELinux permission check.,3,80730
"Apr 8, 2026 @ 23:53:36.640",wazuh-server,syslog: User authentication failure.,5,2501
"Apr 8, 2026 @ 23:53:34.638",wazuh-server,PAM: User login failed.,5,5503
"Apr 8, 2026 @ 23:53:34.638",wazuh-server,unix_chkpwd: Password check failed.,5,5557
"Apr 8, 2026 @ 23:53:26.630",wazuh-server,PAM: Login session closed.,3,5502
"Apr 8, 2026 @ 23:50:12.368",wazuh-server,PAM: Login session closed.,3,5502
"Apr 8, 2026 @ 23:50:12.366",wazuh-server,PAM: Login session closed.,3,5502
"Apr 8, 2026 @ 23:50:10.364",wazuh-server,Successful sudo to ROOT executed.,3,5402
"Apr 8, 2026 @ 23:50:10.364",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:50:10.364",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:46:11.293",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:46:11.293",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:46:10.152",wazuh-server,Auditd: SELinux permission check.,3,80730
"Apr 8, 2026 @ 23:46:10.152",wazuh-server,Auditd: SELinux permission check.,3,80730
"Apr 8, 2026 @ 23:46:10.152",wazuh-server,Auditd: SELinux permission check.,3,80730
"Apr 8, 2026 @ 23:45:55.272",wazuh-server,syslog: User missed the password more than one time,10,2502
"Apr 8, 2026 @ 23:45:55.271",wazuh-server,syslog: User authentication failure.,5,2501
"Apr 8, 2026 @ 23:45:53.271",wazuh-server,unix_chkpwd: Password check failed.,5,5557
"Apr 8, 2026 @ 23:45:43.236",wazuh-server,syslog: User authentication failure.,5,2501
"Apr 8, 2026 @ 23:45:41.234",wazuh-server,unix_chkpwd: Password check failed.,5,5557
"Apr 8, 2026 @ 23:45:29.196",wazuh-server,syslog: User authentication failure.,5,2501
"Apr 8, 2026 @ 23:45:27.195",wazuh-server,PAM: User login failed.,5,5503
"Apr 8, 2026 @ 23:45:27.194",wazuh-server,unix_chkpwd: Password check failed.,5,5557
"Apr 8, 2026 @ 23:45:09.169",wazuh-server,PAM: Login session closed.,3,5502
"Apr 8, 2026 @ 23:44:53.153",wazuh-server,PAM: Login session closed.,3,5502
"Apr 8, 2026 @ 23:44:53.153",wazuh-server,PAM: Login session closed.,3,5502
"Apr 8, 2026 @ 23:43:31.007",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:43:31.007",wazuh-server,Successful sudo to ROOT executed.,3,5402
"Apr 8, 2026 @ 23:43:31.006",wazuh-server,PAM: Login session opened.,3,5501
"Apr 8, 2026 @ 23:42:30.946",wazuh-server,PAM: Login session closed.,3,5502
"Apr 8, 2026 @ 23:40:25.750",Admin,Software protection service scheduled successfully.,3,60642
